Department  ,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
CF - MacArthur Memorial,Museum Attendant,Casual Part-time,06/04/2007,06/04/2007,Nonexempt,12.51
CF - MacArthur Memorial,Museum Attendant,Casual Part-time,11/13/2006,11/13/2006,Nonexempt,12.51
CF - MacArthur Memorial,Museum Attendant,Permanent Full-time,09/23/2020,09/23/2020,Nonexempt,26200.00
CF - MacArthur Memorial,Museum Attendant,Permanent Full-time,01/07/2019,01/07/2019,Nonexempt,26200.00
CF - MacArthur Memorial,Administrative Technician,Permanent Full-time,09/23/2015,03/19/2018,Nonexempt,33454.06
CF - MacArthur Memorial,Curator,Permanent Full-time,11/03/2014,11/03/2014,Exempt,55193.55
CF - MacArthur Memorial,Education Manager,Permanent Full-time,10/29/2007,11/23/2009,Exempt,59534.58
CF - MacArthur Memorial,Archivist,Permanent Full-time,06/01/1994,05/15/1996,Exempt,61718.12
CF-Cultural&Convention Center,Ticket Seller,Intermittent Temporary,12/30/2004,12/30/2004,Nonexempt,11.91
CF-Cultural&Convention Center,Ticket Sales Supervisor,Intermittent Temporary,10/18/2002,10/18/2002,Nonexempt,14.59
CFAE-Cultural Affrs/SpecEvents,Public Information Spec I,Permanent Full-time,06/08/2019,06/08/2019,Exempt,38083.74
Cemetery Fund,Groundskeeper,Permanent Full-time,02/29/2020,02/29/2020,Nonexempt,26200.00
Cemetery Fund,Groundskeeper,Permanent Full-time,01/04/2020,01/04/2020,Nonexempt,26200.00
Cemetery Fund,Groundskeeper,Permanent Full-time,09/15/2004,04/05/2021,Nonexempt,26200.00
Cemetery Fund,Groundskeeper,Permanent Full-time,02/27/2021,02/27/2021,Nonexempt,26200.00
Cemetery Fund,Groundskeeper,Permanent Full-time,10/12/2019,10/12/2019,Nonexempt,26200.00
Cemetery Fund,Equipment Operator II,Permanent Full-time,02/29/2020,02/29/2020,Nonexempt,29391.00
Cemetery Fund,Equipment Operator II,Permanent Full-time,02/04/2019,01/06/2020,Nonexempt,29979.00
Cemetery Fund,Equipment Operator II,Permanent Full-time,03/30/2019,04/03/2021,Nonexempt,29979.00
Cemetery Fund,Accounting Technician II,Permanent Full-time,11/01/1993,12/07/2019,Nonexempt,30000.00
Cemetery Fund,Equipment Operator II,Permanent Full-time,04/08/2016,06/11/2018,Nonexempt,30578.40
Cemetery Fund,Equipment Operator II,Permanent Full-time,10/08/1999,12/19/2016,Nonexempt,31675.46
Cemetery Fund,Equipment Operator III,Permanent Full-time,04/09/2012,01/21/2020,Nonexempt,31804.00
Cemetery Fund,Equipment Operator III,Permanent Full-time,05/01/2008,11/11/2019,Nonexempt,32746.90
Cemetery Fund,Equipment Operator III,Permanent Full-time,10/08/2002,10/08/2016,Nonexempt,34211.21
Cemetery Fund,Administrative Technician,Permanent Full-time,04/13/2015,01/04/2021,Nonexempt,36553.31
Cemetery Fund,Groundskeeper Crew Leader,Permanent Full-time,06/11/2001,03/15/2021,Nonexempt,37739.00
Cemetery Fund,Cemetery Manager II,Permanent Full-time,10/09/2007,12/10/2012,Nonexempt,39993.48
Cemetery Fund,Public Information Spec II,Permanent Full-time,04/16/2018,04/16/2018,Exempt,45225.78
Cemetery Fund,Operations Manager,Permanent Full-time,05/12/2008,03/23/2016,Exempt,55204.04
Cemetery Fund,Division Head,Permanent Full-time,04/01/2013,01/02/2021,Exempt,68098.00
Cemetery Fund,Bureau Manager,Permanent Full-time,06/11/2007,06/11/2007,Exempt,98669.59
Circuit Court Judges,Legal Secretary II,Permanent Full-time,12/22/1997,08/23/2017,Nonexempt,51964.00
Circuit Court Judges,Law Clerk,Special Project,08/31/2020,08/31/2020,Exempt,58610.00
Circuit Court Judges,Law Clerk,Special Project,08/03/2020,08/03/2020,Exempt,58610.00
Circuit Court Judges,Law Clerk,Special Project,08/03/2020,08/03/2020,Exempt,58610.00
Circuit Court Judges,Law Clerk,Special Project,08/03/2020,08/03/2020,Exempt,58610.00
Circuit Court Judges,Legal Secretary II,Permanent Full-time,07/23/1996,08/04/2004,Nonexempt,59362.56
Circuit Court Judges,Legal Secretary II,Permanent Full-time,07/01/2005,07/01/2005,Nonexempt,59362.56
Circuit Court Judges,Program Supervisor,Special Project w/ Retirement,02/27/2021,02/27/2021,Exempt,62000.00
Circuit Court Judges,Legal Assistant,Permanent Full-time,11/28/1994,07/01/2005,Nonexempt,63253.11
Circuit Court Judges,Mgmt Services Administrator,Permanent Full-time,03/17/1976,03/08/2016,Exempt,106700.16
City Assessor,Assessment Support Technician,Permanent Full-time,01/02/2021,01/02/2021,Nonexempt,31804.00
City Assessor,Assessment Support Technician,Permanent Full-time,08/29/2020,08/29/2020,Nonexempt,34984.00
City Assessor,Real Estate Appraiser I,Permanent Full-time,08/23/2001,09/03/2019,Nonexempt,40805.00
City Assessor,Real Estate Appraiser I,Permanent Full-time,03/28/2020,03/28/2020,Nonexempt,40805.00
City Assessor,Real Estate Appraiser I,Permanent Full-time,03/05/2018,04/01/2019,Nonexempt,40805.00
